"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","rt","stimulus","response","correct_response","correct_response_key","css_classes","size_condition","choices","correct","slider_start"
"","","","","","html-keyboard-response","478","2.0.0","404916","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","479","2.0.0","405304","pukxay7l5kt","3332","386","stimuli/35-Congruent.jpg","z","right","m","normal","small","z","false",""
"","","","","","html-keyboard-response","480","2.0.0","406307","pukxay7l5kt","3332","null","<p style='color:red; font-size: 48px;'>Incorrect!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","481","2.0.0","407010","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","482","2.0.0","407540","pukxay7l5kt","3332","528","stimuli/28-Incongruent.jpg","z","left","z","normal","small","z","true",""
"","","","","","html-keyboard-response","484","2.0.0","408243","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","485","2.0.0","408956","pukxay7l5kt","3332","712","stimuli/19-Congruent.jpg","z","left","z","cb","small","z","true",""
"","","","","","html-keyboard-response","487","2.0.0","409659","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","488","2.0.0","410437","pukxay7l5kt","3332","776","stimuli/16-Congruent.jpg","m","right","m","normal","small","m","true",""
"","","","","","html-keyboard-response","490","2.0.0","411140","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","491","2.0.0","411865","pukxay7l5kt","3332","723","stimuli/4-Incongruent.jpg","z","left","z","normal","small","z","true",""
"","","","","","html-keyboard-response","493","2.0.0","412569","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","494","2.0.0","413245","pukxay7l5kt","3332","674","stimuli/14-Incongruent.jpg","z","left","z","normal","small","z","true",""
"","","","","","html-keyboard-response","496","2.0.0","413949","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","497","2.0.0","415115","pukxay7l5kt","3332","1164","stimuli/2-Incongruent.jpg","m","right","m","cb","small","m","true",""
"","","","","","html-keyboard-response","499","2.0.0","415818","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","500","2.0.0","416690","pukxay7l5kt","3332","871","stimuli/25-Incongruent.jpg","m","right","m","cb","small","m","true",""
"","","","","","html-keyboard-response","502","2.0.0","417393","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","503","2.0.0","418083","pukxay7l5kt","3332","688","stimuli/3-Congruent.jpg","z","left","z","cb","small","z","true",""
"","","","","","html-keyboard-response","505","2.0.0","418786","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","506","2.0.0","419324","pukxay7l5kt","3332","535","stimuli/15-Incongruent.jpg","z","left","z","normal","small","z","true",""
"","","","","","html-keyboard-response","508","2.0.0","420027","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","509","2.0.0","420699","pukxay7l5kt","3332","671","stimuli/5-Congruent.jpg","m","right","m","normal","small","m","true",""
"","","","","","html-keyboard-response","511","2.0.0","421403","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","512","2.0.0","422119","pukxay7l5kt","3332","715","stimuli/6-Congruent.jpg","z","left","z","cb","small","z","true",""
"","","","","","html-keyboard-response","514","2.0.0","422822","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","515","2.0.0","423847","pukxay7l5kt","3332","1023","stimuli/8-Incongruent.jpg","m","right","m","cb","small","m","true",""
"","","","","","html-keyboard-response","517","2.0.0","424550","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","518","2.0.0","425095","pukxay7l5kt","3332","543","stimuli/6-Incongruent.jpg","m","right","m","cb","small","m","true",""
"","","","","","html-keyboard-response","520","2.0.0","425798","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","521","2.0.0","426303","pukxay7l5kt","3332","503","stimuli/16-Incongruent.jpg","z","left","z","normal","small","z","true",""
"","","","","","html-keyboard-response","523","2.0.0","427006","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","524","2.0.0","427362","pukxay7l5kt","3332","354","stimuli/4-Incongruent.jpg","z","right","m","cb","small","z","false",""
"","","","","","html-keyboard-response","525","2.0.0","428365","pukxay7l5kt","3332","null","<p style='color:red; font-size: 48px;'>Incorrect!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","526","2.0.0","429067","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","527","2.0.0","429772","pukxay7l5kt","3332","703","stimuli/23-Congruent.jpg","z","right","m","normal","small","z","false",""
"","","","","","html-keyboard-response","528","2.0.0","430775","pukxay7l5kt","3332","null","<p style='color:red; font-size: 48px;'>Incorrect!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","529","2.0.0","431479","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","530","2.0.0","431979","pukxay7l5kt","3332","498","stimuli/12-Congruent.jpg","z","left","z","cb","small","z","true",""
"","","","","","html-keyboard-response","532","2.0.0","432681","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","533","2.0.0","433098","pukxay7l5kt","3332","415","stimuli/5-Congruent.jpg","m","left","z","cb","small","m","false",""
"","","","","","html-keyboard-response","534","2.0.0","434102","pukxay7l5kt","3332","null","<p style='color:red; font-size: 48px;'>Incorrect!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","535","2.0.0","434805","pukxay7l5kt","3332","null","<div style=""font-size:60px;"">+</div>","null","","","","","","",""
"","","","","","image-keyboard-response","536","2.0.0","435618","pukxay7l5kt","3332","811","stimuli/8-Incongruent.jpg","z","left","z","normal","small","z","true",""
